"","objectid","dc_dist","psa","dispatch_date_time","dispatch_date","dispatch_time","hour","dc_key","location_block","ucr_general","text_general_code","point_x","point_y","lat","lng","year","GunViolence"
"1",115,"19","1",2011-12-18 22:14:00,2011-12-18,17:14:00,17,201119110775,"7700 BLOCK WOODBINE AVE",400,"Aggravated Assault Firearm",-75.26978816,39.97361573,39.97361573,-75.26978816,"2011","Y"
"2",121,"22","4",2011-08-22 04:18:00,2011-08-22,00:18:00,0,201122071329,"1300 BLOCK N MYRTLEWOOD ST",300,"Robbery Firearm",-75.18388492,39.97772574,39.97772574,-75.18388492,"2011","Y"
"3",126,"25","1",2011-09-07 07:14:00,2011-09-07,03:14:00,3,201125078270,"400 BLOCK W ERIE AVE",300,"Robbery Firearm",-75.13592589,40.00728363,40.00728363,-75.13592589,"2011","Y"
"4",127,"39","3",2011-12-10 22:29:00,2011-12-10,17:29:00,17,201139072077,"2800 BLOCK N TANEY ST",400,"Aggravated Assault Firearm",-75.17431531,39.99966246,39.99966246,-75.17431531,"2011","Y"
"5",132,"15","1",2011-08-23 12:37:00,2011-08-23,08:37:00,8,201115084401,"5100 BLOCK DARRAH ST",400,"Aggravated Assault Firearm",-75.07762997,40.02119067,40.02119067,-75.07762997,"2011","Y"
"6",10,"22","2",2011-09-30 07:18:00,2011-09-30,03:18:00,3,201122083123,"2600 BLOCK N NAPA ST",400,"Aggravated Assault Firearm",-75.18269668,39.9959475,39.9959475,-75.18269668,"2011","Y"
"7",17,"12","1",2011-09-25 04:24:00,2011-09-25,00:24:00,0,201112077313,"2400 BLOCK ROSELLA ST",400,"Aggravated Assault Firearm",-75.24805754,39.90974796,39.90974796,-75.24805754,"2011","Y"
"8",50,"39","3",2011-11-05 00:43:00,2011-11-04,20:43:00,20,201139064986,"2700 BLOCK W SELTZER ST",400,"Aggravated Assault Firearm",-75.17528521,39.9978323,39.9978323,-75.17528521,"2011","Y"
"9",73,"26","1",2011-09-16 16:44:00,2011-09-16,12:44:00,12,201126051257,"2300 BLOCK N 04TH ST",400,"Aggravated Assault Firearm",-75.13951937,39.98651549,39.98651549,-75.13951937,"2011","Y"
"10",80,"35","3",2011-06-18 04:55:00,2011-06-18,00:55:00,0,201135044623,"2100 BLOCK W OLNEY AVE",400,"Aggravated Assault Firearm",-75.15795336,40.04126797,40.04126797,-75.15795336,"2011","Y"
"11",81,"02","2",2011-11-16 02:07:00,2011-11-15,21:07:00,21,201102075348,"6300 BLOCK HASBROOK AVE",300,"Robbery Firearm",-75.10040843,40.05035943,40.05035943,-75.10040843,"2011","Y"
"12",293,"22","4",2011-05-27 23:03:00,2011-05-27,19:03:00,19,201122045195,"1300 BLOCK N DOVER ST",400,"Aggravated Assault Firearm",-75.18251135,39.97623256,39.97623256,-75.18251135,"2011","Y"
"13",339,"24","1",2011-04-25 02:23:00,2011-04-24,22:23:00,22,201124031382,"3900 BLOCK GLENDALE ST",400,"Aggravated Assault Firearm",-75.10182795,40.00567648,40.00567648,-75.10182795,"2011","Y"
"14",151,"35","2",2011-09-23 02:09:00,2011-09-22,22:09:00,22,201135070653,"200 BLOCK E ALBANUS ST",300,"Robbery Firearm",-75.11748906,40.0275588,40.0275588,-75.11748906,"2011","Y"
"15",156,"19","2",2011-09-06 00:58:00,2011-09-05,20:58:00,20,201119079416,"6000 BLOCK MEDIA ST",300,"Robbery Firearm",-75.24072622,39.97428962,39.97428962,-75.24072622,"2011","Y"
"16",196,"35","2",2011-08-23 02:36:00,2011-08-22,22:36:00,22,201135062462,"4900 BLOCK N 12TH ST",400,"Aggravated Assault Firearm",-75.14346474,40.02716361,40.02716361,-75.14346474,"2011","Y"
"17",199,"14","3",2011-07-23 00:41:00,2011-07-22,20:41:00,20,201114054198,"6600 BLOCK GERMANTOWN AVE",300,"Robbery Firearm",-75.18457519,40.05041301,40.05041301,-75.18457519,"2011","Y"
"18",215,"02","1",2011-07-03 07:58:00,2011-07-03,03:58:00,3,201102043908,"6200 BLOCK SOUDER ST",300,"Robbery Firearm",-75.07597589,40.03554671,40.03554671,-75.07597589,"2011","Y"
"19",220,"17","2",2011-06-05 05:19:00,2011-06-05,01:19:00,1,201117026820,"1800 BLOCK S 31ST ST",400,"Aggravated Assault Firearm",-75.1967539,39.93038369,39.93038369,-75.1967539,"2011","Y"
"20",267,"39","3",2011-12-29 14:15:00,2011-12-29,09:15:00,9,201139075506,"2800 BLOCK N BROAD ST",300,"Robbery Firearm",-75.15414432,39.99600081,39.99600081,-75.15414432,"2011","Y"
"21",481,"25","2",2011-01-29 05:42:00,2011-01-29,00:42:00,0,201125008162,"5000 BLOCK BOUDINOT ST",300,"Robbery Firearm",-75.11653319,40.02503405,40.02503405,-75.11653319,"2011","Y"
"22",547,"02","2",2011-01-16 07:08:00,2011-01-16,02:08:00,2,201102003126,"6200 BLOCK HASBROOK AVE",300,"Robbery Firearm",-75.10133817,40.04954852,40.04954852,-75.10133817,"2011","Y"
