"","objectid","dc_dist","psa","dispatch_date_time","dispatch_date","dispatch_time","hour","dc_key","location_block","ucr_general","text_general_code","point_x","point_y","lat","lng","year","GunViolence"
"1",151860,"22","2",2019-10-03 05:37:00,2019-10-03,01:37:00,1,201922088256,"21ST AND YORK ST",300,"Robbery Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"2",151862,"18","2",2019-05-24 05:16:00,2019-05-24,01:16:00,1,201918043760,"S 56TH ST  /  LOCUST ST",300,"Robbery Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"3",151187,"25","2",2019-12-01 17:01:00,2019-12-01,12:01:00,12,201925097243,"200 BLOCK W LUZERNE ST",400,"Aggravated Assault Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"4",155260,"25","4",2019-09-12 19:09:00,2019-09-12,15:09:00,15,201925074214,"N 13TH ST  /  W SOMERSET ST",300,"Robbery Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"5",155289,"24","1",2019-10-24 01:31:00,2019-10-23,21:31:00,21,201924104763,"900 BLOCK E ATLANTIC ST",300,"Robbery Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"6",155343,"24","1",2019-07-01 18:49:00,2019-07-01,14:49:00,14,201924062018,"3300 BLOCK ""H"" ST",400,"Aggravated Assault Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"7",155355,"03","2",2019-08-24 19:34:00,2019-08-24,15:34:00,15,201903060333,"2100 BLOCK CHRISTOPHER COLUMBUS BLVD",400,"Aggravated Assault Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"8",155357,"07","3",2019-05-23 00:55:00,2019-05-22,20:55:00,20,201907013316,"E ROOSEVELT BLVD  /  COMLY RD",400,"Aggravated Assault Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"9",155360,"15","3",2019-02-23 06:23:00,2019-02-23,01:23:00,1,201915016578,"7200 BLOCK TORRESDALE",300,"Robbery Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"10",155365,"25","4",2019-08-11 01:41:00,2019-08-10,21:41:00,21,201925065407,"1300 BLOCK W SELTZER ST ZER ST",300,"Robbery Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"11",154352,"12","2",2019-03-17 22:49:00,2019-03-17,18:49:00,18,201912020977,"5800 BLOCK SPRINGFIELD AVIELD AVE",400,"Aggravated Assault Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"12",158901,"16","1",2019-04-16 18:51:00,2019-04-16,14:51:00,14,201916016602,"W GIRARD AV  /  SCHUYLKILL EXPY RAMP 2",400,"Aggravated Assault Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"13",158908,"24","1",2019-07-29 03:45:00,2019-07-28,23:45:00,23,201924073083,"1800 BLOCK TORRESDALE AVEDALE AVE",300,"Robbery Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"14",158910,"39","1",2019-05-06 13:24:00,2019-05-06,09:24:00,9,201939036643,"4700 BLOCK WISSAHICKON AVAV",400,"Aggravated Assault Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"15",158936,"35","2",2019-02-16 13:18:00,2019-02-16,08:18:00,8,201935013731,"N 4TH ST  /  W DUNCANNON AVE",300,"Robbery Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"16",158938,"24","2",2019-12-27 05:46:00,2019-12-27,00:46:00,0,201924124401,"600 BLOCK E ALLEGHENY AVE AVE",300,"Robbery Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"17",158968,"39","1",2019-05-06 13:19:00,2019-05-06,09:19:00,9,201939036637,"4700 BLOCK WISSAHICKON AVAV",400,"Aggravated Assault Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"18",158983,"18","2",2019-11-25 04:28:00,2019-11-24,23:28:00,23,201918108631,"57TH ST /  CATHERINE IAN ST",300,"Robbery Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"19",158989,"15","2",2019-12-27 17:12:00,2019-12-27,12:12:00,12,201915134249,"1700 BLOCK HAWTHORN ST",400,"Aggravated Assault Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
"20",159013,"16","2",2019-11-04 13:26:00,2019-11-04,08:26:00,8,201916054476,"N 41ST ST  /  POPLAR AV",400,"Aggravated Assault Firearm",-75.26380374,40.05509472,40.05509472,-75.26380374,"2019","Y"
