"","year","cases"
"1","2006",8917
"2","2007",7771
"3","2008",7216
"4","2009",6596
"5","2010",6355
"6","2011",6324
"7","2012",6149
"8","2013",5586
"9","2014",5347
"10","2015",5471
"11","2016",5231
"12","2017",4985
"13","2018",4858
"14","2019",5105
"15","2020",6221
"16","2021",6694
"17","2022",6874
"18","2023",6316
"19","2024",5129
