"","Full_Name","Status","School_Type","Year_Closed","Year","GunRelated_Incidents"
"445","Harrison Elementary","Closed","Elementary",2012,"2020",12
"446","Charles R. Drew Elementary","Closed","Elementary",2012,"2020",1
"447","William Levering Elementary","Closed","Elementary",2012,"2020",0
"448","Philadelphia High School for Business and Technology","Closed","High",2012,"2020",4
"449","Rhodes High School","Closed","High",2012,"2020",6
"450","Thomas FitzSimons High School","Closed","High",2012,"2020",12
"451","Bok Technical High School","Closed","High",2013,"2021",4
"452","L.P. Hill Elementary","Closed","Elementary",2013,"2021",20
"453","Sheridan West Middle School","Closed","Middle",2014,"2021",32
"454","Charles Carroll High School","Closed","High",2013,"2021",2
"455","John L. Kinsey Elementary","Closed","Elementary",2013,"2021",7
"456","M.H. Stanton Elementary","Closed","Elementary",2013,"2021",34
"457","Communications Technology High School","Closed","High",2014,"2021",1
"458","Joseph Leidy Elementary","Closed","Elementary",2014,"2021",4
"459","Walter Smith Elementary","Closed","Elementary",2013,"2021",6
"460","Stephen A. Douglas High school","Closed","High",2013,"2021",3
"461","Lamberton High School","Closed","High",2013,"2021",9
"462","Fairhill Elementary","Closed","Elementary",2014,"2021",16
"463","George Wharton Pepper Middle School","Closed","Middle",2013,"2021",2
"464","Vaux High School","Closed","High",2013,"2021",12
"465","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2021",15
"466","Anna B Pratt Elementary","Closed","Elementary",2014,"2021",16
"467","George Washington Elementary","Closed","Elementary",2013,"2021",3
"468","Robert Fulton Elementary","Closed","Elementary",2013,"2021",5
"469","General John F. Reynolds Elementary","Closed","Elementary",2013,"2021",10
"470","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2021",14
"471","Germantown High School","Closed","High",2013,"2021",2
"472","Anna H Shaw Middle School","Closed","Middle",2014,"2021",14
"473","Alexander Wilson Elementary","Closed","Elementary",2013,"2021",4
"474","University City High School","Closed","High",2013,"2021",6
"475","Harrison Elementary","Closed","Elementary",2012,"2021",12
"476","Charles R. Drew Elementary","Closed","Elementary",2012,"2021",4
"477","William Levering Elementary","Closed","Elementary",2012,"2021",1
"478","Philadelphia High School for Business and Technology","Closed","High",2012,"2021",7
"479","Rhodes High School","Closed","High",2012,"2021",5
"480","Thomas FitzSimons High School","Closed","High",2012,"2021",21
"481","Bok Technical High School","Closed","High",2013,"2022",6
"482","L.P. Hill Elementary","Closed","Elementary",2013,"2022",30
"483","Sheridan West Middle School","Closed","Middle",2014,"2022",24
"484","Charles Carroll High School","Closed","High",2013,"2022",5
"485","John L. Kinsey Elementary","Closed","Elementary",2013,"2022",8
"486","M.H. Stanton Elementary","Closed","Elementary",2013,"2022",26
"487","Communications Technology High School","Closed","High",2014,"2022",6
"488","Joseph Leidy Elementary","Closed","Elementary",2014,"2022",3
"489","Walter Smith Elementary","Closed","Elementary",2013,"2022",3
"490","Stephen A. Douglas High school","Closed","High",2013,"2022",10
"491","Lamberton High School","Closed","High",2013,"2022",7
"492","Fairhill Elementary","Closed","Elementary",2014,"2022",16
"493","George Wharton Pepper Middle School","Closed","Middle",2013,"2022",2
"494","Vaux High School","Closed","High",2013,"2022",14
"495","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2022",12
"496","Anna B Pratt Elementary","Closed","Elementary",2014,"2022",16
"497","George Washington Elementary","Closed","Elementary",2013,"2022",10
"498","Robert Fulton Elementary","Closed","Elementary",2013,"2022",2
"499","General John F. Reynolds Elementary","Closed","Elementary",2013,"2022",16
"500","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2022",15
"501","Germantown High School","Closed","High",2013,"2022",2
"502","Anna H Shaw Middle School","Closed","Middle",2014,"2022",14
"503","Alexander Wilson Elementary","Closed","Elementary",2013,"2022",2
"504","University City High School","Closed","High",2013,"2022",2
"505","Harrison Elementary","Closed","Elementary",2012,"2022",10
"506","Charles R. Drew Elementary","Closed","Elementary",2012,"2022",1
"507","William Levering Elementary","Closed","Elementary",2012,"2022",2
"508","Philadelphia High School for Business and Technology","Closed","High",2012,"2022",8
"509","Rhodes High School","Closed","High",2012,"2022",7
"510","Thomas FitzSimons High School","Closed","High",2012,"2022",13
"511","Bok Technical High School","Closed","High",2013,"2023",7
"512","L.P. Hill Elementary","Closed","Elementary",2013,"2023",16
"513","Sheridan West Middle School","Closed","Middle",2014,"2023",29
"514","Charles Carroll High School","Closed","High",2013,"2023",3
"515","John L. Kinsey Elementary","Closed","Elementary",2013,"2023",7
"516","M.H. Stanton Elementary","Closed","Elementary",2013,"2023",25
"517","Communications Technology High School","Closed","High",2014,"2023",4
"518","Joseph Leidy Elementary","Closed","Elementary",2014,"2023",5
"519","Walter Smith Elementary","Closed","Elementary",2013,"2023",2
"520","Stephen A. Douglas High school","Closed","High",2013,"2023",5
"521","Lamberton High School","Closed","High",2013,"2023",3
"522","Fairhill Elementary","Closed","Elementary",2014,"2023",19
"523","George Wharton Pepper Middle School","Closed","Middle",2013,"2023",0
"524","Vaux High School","Closed","High",2013,"2023",12
"525","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2023",11
"526","Anna B Pratt Elementary","Closed","Elementary",2014,"2023",16
"527","George Washington Elementary","Closed","Elementary",2013,"2023",7
"528","Robert Fulton Elementary","Closed","Elementary",2013,"2023",7
"529","General John F. Reynolds Elementary","Closed","Elementary",2013,"2023",17
"530","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2023",16
"531","Germantown High School","Closed","High",2013,"2023",6
"532","Anna H Shaw Middle School","Closed","Middle",2014,"2023",12
"533","Alexander Wilson Elementary","Closed","Elementary",2013,"2023",2
"534","University City High School","Closed","High",2013,"2023",3
"535","Harrison Elementary","Closed","Elementary",2012,"2023",8
"536","Charles R. Drew Elementary","Closed","Elementary",2012,"2023",2
"537","William Levering Elementary","Closed","Elementary",2012,"2023",2
"538","Philadelphia High School for Business and Technology","Closed","High",2012,"2023",5
"539","Rhodes High School","Closed","High",2012,"2023",14
"540","Thomas FitzSimons High School","Closed","High",2012,"2023",18
