"Full_Name","Full_Address","Street_Number","City","ZIP","Status","Year_Closed","School_Type","arcgis_address","score","location.x","location.y","extent.xmin","extent.ymin","extent.xmax","extent.ymax","geometry","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Anna B Pratt Elementary","2200 N 22nd St, Philadelphia, PA 19132","2200 N 22nd St","Philadelphia","19132","Closed","2014","Elementary","2200 N 22nd St, Philadelphia, Pennsylvania, 19132","100",-75.169774533794,39.988678335207,"-75.170774533794","39.987678335207","-75.168774533794","39.989678335207","c(-75.169774533794","19","34","23","16","28","21","31","17","17","16","21","13","15","12","22","16","16","16","11"
"George Washington Elementary","1198 S. 5th St, Philadelphia, PA 19147","1198 S. 5th St","Philadelphia","19147","Closed","2013","Elementary","1198 S 5th St, Philadelphia, Pennsylvania, 19147","100",-75.152763964214,39.933593012362,"-75.153763964214","39.932593012362","-75.151763964214","39.934593012362","c(-75.152763964214","8","3","7","4","7","4","10","6","10","9","6","2","2","7","1","3","10","7","1"
"Robert Fulton Elementary","60 E Haines St, Philadelphia, PA 19144","60 E Haines St","Philadelphia","19144","Closed","2013","Elementary","60 E Haines St, Philadelphia, Pennsylvania, 19144","100",-75.175126211334,40.039636241291,"-75.176126211334","40.038636241291","-75.174126211334","40.040636241291","c(-75.175126211334","14","12","5","14","12","11","8","4","8","6","5","11","8","10","8","5","2","7","6"
"General John F. Reynolds Elementary","2300 Jefferson St, Philadelphia, PA 19121","2300 Jefferson St","Philadelphia","19121","Closed","2013","Elementary","2300 W Jefferson St, Philadelphia, Pennsylvania, 19121","99.55",-75.174159023526,39.97767528518,"-75.175159023526","39.97667528518","-75.173159023526","39.97867528518","c(-75.174159023526","22","19","11","14","16","17","14","13","11","17","8","14","9","11","6","10","16","17","6"
"John Greenleaf Whittier Elementary","2600 W Clearfield St, Philadelphia, PA 19132","2600 W Clearfield St","Philadelphia","19132","Closed","2013","Elementary","2600 W Clearfield St, Philadelphia, Pennsylvania, 19132","100",-75.173732636112,40.00233505387,"-75.174732636112","40.00133505387","-75.172732636112","40.00333505387","c(-75.173732636112","15","19","12","10","11","8","4","8","13","14","17","10","10","7","13","14","15","16","13"
"Germantown High School","40 High St, Philadelphia, PA 19144","40 High St","Philadelphia","19144","Closed","2013","High","40 High St, Philadelphia, Pennsylvania, 19144","100",-75.177190204671,40.039864869564,"-75.178190204671","40.038864869564","-75.176190204671","40.040864869564","c(-75.177190204671","10","6","4","16","10","6","9","7","10","4","3","4","7","5","4","2","2","6","2"
"Anna H Shaw Middle School","5400 Warrington Ave, Philadelphia, PA 19143","5400 Warrington Ave","Philadelphia","19143","Closed","2014","Middle","5400 Warrington Ave, Philadelphia, Pennsylvania, 19143","100",-75.225537885887,39.941784014154,"-75.226537885887","39.940784014154","-75.224537885887","39.942784014154","c(-75.225537885887","18","23","25","15","19","25","15","19","12","9","16","10","7","11","22","14","14","12","9"
"Alexander Wilson Elementary","4514 Woodland Ave, Philadelphia, PA 19143","4514 Woodland Ave","Philadelphia","19143","Closed","2013","Elementary","4514 Woodland Ave, Philadelphia, Pennsylvania, 19143","100",-75.209052048255,39.944187570337,"-75.210052048255","39.943187570337","-75.208052048255","39.945187570337","c(-75.209052048255","3","11","6","3","5","10","4","1","2","3","5","4","3","3","3","4","2","2","3"
"University City High School","3601 Filbert St, Philadelphia, PA 19104","3601 Filbert St","Philadelphia","19104","Closed","2013","High","3601 Filbert St, Philadelphia, Pennsylvania, 19104","100",-75.194069899504,39.957003701827,"-75.195069899504","39.956003701827","-75.193069899504","39.958003701827","c(-75.194069899504","2","3","2","3","5","1","2","0","2","0","0","3","0","2","1","6","2","3","2"
"Harrison Elementary","1012 W. Thompson St, Philadelphia, PA 19122","1012 W. Thompson St","Philadelphia","19122","Closed","2012","Elementary","1012 W Thompson St, Philadelphia, Pennsylvania, 19122","100",-75.153489501753,39.972233083086,"-75.154489501753","39.971233083086","-75.152489501753","39.973233083086","c(-75.153489501753","16","6","15","15","9","10","17","6","10","13","16","10","9","12","12","12","10","8","13"
"Charles R. Drew Elementary","3724 Warren St., Philadelphia, PA 19104","3724 Warren St.","Philadelphia","19104","Closed","2012","Elementary","3724 Warren St, Philadelphia, Pennsylvania, 19104","100",-75.195888477607,39.958660954132,"-75.196888477607","39.957660954132","-75.194888477607","39.959660954132","c(-75.195888477607","2","3","7","7","5","9","5","4","1","2","1","0","1","3","1","4","1","2","5"
"William Levering Elementary","6000 Ridge Ave., Philadelphia, PA 19128","6000 Ridge Ave.","Philadelphia","19128","Closed","2012","Elementary","6000 Ridge Ave, Philadelphia, Pennsylvania, 19128","100",-75.213223466497,40.031620895367,"-75.214223466497","40.030620895367","-75.212223466497","40.032620895367","c(-75.213223466497","6","2","0","3","0","0","0","0","3","2","4","2","1","2","0","1","2","2","0"
"Philadelphia High School for Business and Technology","540 N. 13th St., Philadelphia, PA 19123","540 N. 13th St.","Philadelphia","19123","Closed","2012","High","540 N 13th St, Philadelphia, Pennsylvania, 19123","100",-75.159287012722,39.963004984876,"-75.160287012722","39.962004984876","-75.158287012722","39.964004984876","c(-75.159287012722","10","10","5","1","6","6","7","4","3","5","4","6","2","6","4","7","8","5","3"
"Rhodes High School","3100 N. 29th St, Philadelphia, PA 19132","3100 N. 29th St","Philadelphia","19132","Closed","2012","High","3100 N 29th St, Philadelphia, Pennsylvania, 19132","100",-75.177485381801,40.003237659113,"-75.178485381801","40.002237659113","-75.176485381801","40.004237659113","c(-75.177485381801","9","6","6","12","3","10","4","8","5","9","7","8","8","10","6","5","7","14","3"
"Thomas FitzSimons High School","2601 W. Cumberland St, Philadelphia, PA 19132","2601 W. Cumberland St","Philadelphia","19132","Closed","2012","High","2601 W Cumberland St, Philadelphia, Pennsylvania, 19132","100",-75.174915574107,39.993853783232,"-75.175915574107","39.992853783232","-75.173915574107","39.994853783232","c(-75.174915574107","14","16","20","4","14","4","7","13","13","11","7","13","12","15","12","21","13","18","10"
