"","Year","Closed","Open"
"1","2006",43.5,31
"2","2007",37.5,27.5
"3","2008",40,24
"4","2009",34.5,24
"5","2010",34,22
"6","2011",34,22
"7","2012",35,21
"8","2013",22,20
"9","2014",25.5,18
"10","2015",25,18
"11","2016",26,16
"12","2017",27,17
"13","2018",22.5,15
"14","2019",23,17
"15","2020",27,18.5
"16","2021",27,20
"17","2022",27,23
"18","2023",27.5,20
